ID,Account Number,Account Name,Longitude,Latitude,Accessibility,Hours,Street Address,City,State,Zip Code,Languages,Current Account Balance
1,56c66be5a73e492741506f2c,Arlington 2,-77.1211338,38.8981779,True,"['24 hours a day, 7 days a week']",4700 Lee Highway,Arlington,VA,22207,"['Chinese', 'French', 'Spanish', 'Hindustani', 'English']",510406
2,56c66be5a73e492741506f2b,Arlington 1,-77.1211338,38.8981779,True,"['24 hours a day, 7 days a week']",4700 Lee Highway,Arlington,VA,22207,"['Spanish', 'Portuguese', 'English']",337830
3,56c66be5a73e492741506f2e,Lee Highway/North Arlington 3,-77.1333157,38.8960952,False,"['24 hours a day, 7 days a week']",5222 Lee Highway,Arlington,VA,22207,"['Hindustani', 'English']",13697
4,56c66be5a73e492741506f2d,Lee Highway/North Arlington 2,-77.1333157,38.8960952,True,"['24 hours a day, 7 days a week']",5222 Lee Highway,Arlington,VA,22207,"['Chinese', 'French', 'Spanish', 'Hindustani', 'Portuguese', 'English']",270091
5,56c66be5a73e492741506f2f,Lee Highway/North Arlington 4,-77.1333157,38.8960952,True,"['24 hours a day, 7 days a week']",5222 Lee Highway,Arlington,VA,22207,"['Portuguese', 'Korean', 'English']",801970
6,56c66be5a73e492741506f31,Ballston Commons Mall 1,-77.1102162,38.8788951,True,"['24 hours a day, 7 days a week']",4238 Wilson Boulevard,Arlington,VA,22203,['English'],13984
7,56c66be5a73e492741506f30,WMATA - Ballston 1,-77.1113105,38.882163,True,"['24 hours a day, 7 days a week']",4230 Fairfax Drive,Arlington,VA,22203,"['French', 'Korean', 'Portuguese', 'Hindustani', 'English']",561583
8,56c66be5a73e492741506f32,Ballston Commons Mall 2,-77.1102162,38.8788951,False,"['24 hours a day, 7 days a week']",4238 Wilson Boulevard,Arlington,VA,22203,"['French', 'English']",818133
9,56c66be5a73e492741506f33,Ballston Commons Mall 4,-77.1102162,38.8788951,False,"['24 hours a day, 7 days a week']",4238 Wilson Boulevard,Arlington,VA,22203,['English'],318232
10,56c66be5a73e492741506f34,Ballston Common Mall 1,-77.109526,38.879446,True,"['24 hours a day, 7 days a week']",4100 Wilson Boulevard,Arlington,VA,22203,['English'],864330
11,56c66be5a73e492741506f35,Ballston Common Mall 2,-77.109526,38.879446,False,"['24 hours a day, 7 days a week']",4100 Wilson Boulevard,Arlington,VA,22203,"['Korean', 'English']",428320
12,56c66be5a73e492741506f36,Kettler Capitals Iceplex 1,-77.10942059999999,38.8786679,True,"['24 hours a day, 7 days a week']",627 Glebe Road,Arlington,VA,22203,['English'],737905
